[0.011s][info][gc] Using The Z Garbage Collector
[0.162s][info][gc] GC(0) Garbage Collection (Warmup) 4M(20%)->6M(30%)
[0.251s][info][gc] GC(1) Garbage Collection (Warmup) 6M(30%)->4M(20%)
[1.055s][info][gc] GC(2) Garbage Collection (Warmup) 6M(30%)->6M(30%)
[13.768s][info][gc] GC(3) Garbage Collection (Proactive) 10M(50%)->6M(30%)
[13.977s][info][gc] GC(4) Garbage Collection (Allocation Rate) 16M(80%)->8M(40%)
[14.065s][info][gc] GC(5) Garbage Collection (Allocation Rate) 8M(40%)->8M(40%)
[14.174s][info][gc] GC(6) Garbage Collection (Allocation Rate) 10M(50%)->8M(40%)
[14.267s][info][gc] GC(7) Garbage Collection (Allocation Rate) 10M(50%)->8M(40%)
[14.375s][info][gc] GC(8) Garbage Collection (Allocation Rate) 8M(40%)->10M(50%)
[14.463s][info][gc] GC(9) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[14.571s][info][gc] GC(10) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[14.663s][info][gc] GC(11) Garbage Collection (Allocation Rate) 10M(50%)->8M(40%)
[14.757s][info][gc] GC(12) Garbage Collection (Allocation Rate) 10M(50%)->8M(40%)
[15.368s][info][gc] GC(13) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[15.461s][info][gc] GC(14) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[15.571s][info][gc] GC(15) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[24.470s][info][gc] GC(16) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[34.676s][info][gc] GC(17) Garbage Collection (Proactive) 12M(60%)->6M(30%)
[37.076s][info][gc] GC(18) Garbage Collection (Proactive) 8M(40%)->8M(40%)
[38.962s][info][gc] GC(19) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[40.571s][info][gc] GC(20) Garbage Collection (Proactive) 10M(50%)->10M(50%)
[52.865s][info][gc] GC(21) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[53.958s][info][gc] GC(22) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[54.959s][info][gc] GC(23) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[55.959s][info][gc] GC(24) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[56.864s][info][gc] GC(25) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[57.770s][info][gc] GC(26) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[58.661s][info][gc] GC(27) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[59.568s][info][gc] GC(28) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[60.569s][info][gc] GC(29) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[61.568s][info][gc] GC(30) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[62.569s][info][gc] GC(31) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[63.569s][info][gc] GC(32) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[64.568s][info][gc] GC(33) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[65.568s][info][gc] GC(34) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[66.466s][info][gc] GC(35) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[67.365s][info][gc] GC(36) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[68.271s][info][gc] GC(37) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[69.162s][info][gc] GC(38) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[70.069s][info][gc] GC(39) Garbage Collection (Proactive) 10M(50%)->10M(50%)
[82.267s][info][gc] GC(40) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[83.178s][info][gc] GC(41) Garbage Collection (Proactive) 10M(50%)->6M(30%)
[84.566s][info][gc] GC(42) Garbage Collection (Proactive) 8M(40%)->8M(40%)
[85.861s][info][gc] GC(43) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[87.063s][info][gc] GC(44) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[88.173s][info][gc] GC(45) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[89.174s][info][gc] GC(46) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[90.174s][info][gc] GC(47) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[91.173s][info][gc] GC(48) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[92.173s][info][gc] GC(49) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[93.174s][info][gc] GC(50) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[94.180s][info][gc] GC(51) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[95.864s][info][gc] GC(52) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[97.261s][info][gc] GC(53) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[98.574s][info][gc] GC(54) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[99.667s][info][gc] GC(55) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[100.666s][info][gc] GC(56) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[101.666s][info][gc] GC(57) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[102.573s][info][gc] GC(58) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[103.463s][info][gc] GC(59) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[104.370s][info][gc] GC(60) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[105.264s][info][gc] GC(61) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[106.573s][info][gc] GC(62) Garbage Collection (Proactive) 10M(50%)->10M(50%)
[120.863s][info][gc] GC(63) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[121.972s][info][gc] GC(64) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[122.972s][info][gc] GC(65) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[123.973s][info][gc] GC(66) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[124.972s][info][gc] GC(67) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[125.972s][info][gc] GC(68) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[126.868s][info][gc] GC(69) Garbage Collection (Proactive) 10M(50%)->10M(50%)
[141.167s][info][gc] GC(70) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[142.259s][info][gc] GC(71) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[143.259s][info][gc] GC(72) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[144.166s][info][gc] GC(73) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[145.166s][info][gc] GC(74) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[146.072s][info][gc] GC(75) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[146.963s][info][gc] GC(76) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[147.869s][info][gc] GC(77) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[148.871s][info][gc] GC(78) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[149.963s][info][gc] GC(79) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[150.963s][info][gc] GC(80) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[151.963s][info][gc] GC(81) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[152.963s][info][gc] GC(82) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[153.868s][info][gc] GC(83) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[154.760s][info][gc] GC(84) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[155.666s][info][gc] GC(85) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[156.671s][info][gc] GC(86) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[157.671s][info][gc] GC(87) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[158.672s][info][gc] GC(88) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[159.670s][info][gc] GC(89) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[160.675s][info][gc] GC(90) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[162.069s][info][gc] GC(91) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[163.261s][info][gc] GC(92) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[164.359s][info][gc] GC(93) Garbage Collection (Proactive) 10M(50%)->10M(50%)
[166.871s][info][gc] GC(94) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[167.865s][info][gc] GC(95) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[168.864s][info][gc] GC(96) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[169.771s][info][gc] GC(97) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[170.772s][info][gc] GC(98) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[171.771s][info][gc] GC(99) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[172.771s][info][gc] GC(100) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[173.777s][info][gc] GC(101) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[175.370s][info][gc] GC(102) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[176.784s][info][gc] GC(103) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[180.371s][info][gc] GC(104) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[183.369s][info][gc] GC(105) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[185.463s][info][gc] GC(106) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[186.962s][info][gc] GC(107) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[188.166s][info][gc] GC(108) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[189.260s][info][gc] GC(109) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[190.260s][info][gc] GC(110) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[191.261s][info][gc] GC(111) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[192.260s][info][gc] GC(112) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[193.167s][info][gc] GC(113) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[194.071s][info][gc] GC(114) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[195.072s][info][gc] GC(115) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[196.074s][info][gc] GC(116) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[197.074s][info][gc] GC(117) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[198.073s][info][gc] GC(118) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[199.082s][info][gc] GC(119) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[201.166s][info][gc] GC(120) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[202.869s][info][gc] GC(121) Garbage Collection (Proactive) 12M(60%)->12M(60%)
[215.073s][info][gc] GC(122) Garbage Collection (Proactive) 14M(70%)->10M(50%)
[216.261s][info][gc] GC(123) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[217.369s][info][gc] GC(124) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[218.379s][info][gc] GC(125) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[220.392s][info][gc] GC(126) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[223.370s][info][gc] GC(127) Garbage Collection (Proactive) 12M(60%)->10M(50%)
